users_id,class
1,1
2,0
3,2
4,4
5,1
6,4
7,0
8,1
9,0
10,3
11,3
12,0
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,0
21,5
22,2
23,1
24,3
25,0
26,4
27,2
28,4
29,1
30,1
31,2
32,4
33,0
34,0
35,0
36,1
37,4
38,0
39,4
40,1
41,4
42,0
43,4
44,4
45,4
46,4
47,0
48,2
49,2
50,1
51,2
52,4
53,1
54,1
55,0
56,0
57,1
58,1
59,0
60,2
61,0
62,1
63,4
64,1
65,4
66,0
67,4
68,1
69,5
70,0
71,4
72,2
73,0
74,4
75,2
76,4
77,0
78,1
79,4
80,1
81,4
82,0
83,0
84,4
85,0
86,4
87,1
88,1
89,0
90,4
91,4
92,5
93,0
94,5
95,1
96,3
97,0
98,0
99,2
100,2
101,4
102,0
103,1
104,1
105,4
106,2
107,0
108,1
109,5
110,4
111,0
112,1
113,3
114,0
115,2
116,3
117,0
118,4
119,1
120,4
121,0
122,0
123,0
124,2
125,4
126,0
127,0
128,0
129,3
130,4
131,1
132,0
133,3
134,4
135,0
136,0
137,0
138,1
139,1
140,1
141,3
142,4
143,1
144,4
145,1
146,4
147,0
148,2
149,4
150,4
151,0
152,4
153,4
154,4
155,1
156,4
157,4
158,4
159,2
160,4
161,4
162,4
163,2
164,4
165,1
166,0
167,4
168,1
169,1
170,1
171,4
172,0
173,2
174,2
175,2
176,0
177,1
178,0
179,1
180,0
181,4
182,1
183,0
184,0
185,4
186,0
187,4
188,0
189,0
190,0
191,5
192,2
193,0
194,2
195,3
196,0
197,1
198,2
199,0
200,0
201,1
202,1
203,2
204,4
205,4
206,0
207,4
208,2
209,0
210,4
211,4
212,1
213,1
214,0
215,0
216,1
217,2
218,0
219,2
220,1
221,0
222,1
223,4
224,0
225,0
226,0
227,0
228,0
229,4
230,0
231,4
232,1
233,4
234,5
235,2
236,1
237,1
238,5
239,1
240,4
241,4
242,0
243,0
244,0
245,0
246,4
247,4
248,4
249,0
250,0
251,3
252,2
253,1
254,0
255,4
256,0
257,0
258,1
259,4
260,0
261,4
262,4
263,0
264,0
265,1
266,1
267,1
268,1
269,0
270,3
271,0
272,1
273,0
274,1
275,1
276,1
277,5
278,1
279,0
280,4
281,2
282,0
283,4
284,0
285,0
286,2
287,4
288,4
289,0
290,1
291,4
292,3
293,1
294,1
295,4
296,0
297,0
298,5
299,5
300,1
301,0
302,3
303,4
304,2
305,0
306,4
307,4
308,0
309,1
310,0
311,0
312,4
313,2
314,1
315,0
316,2
317,2
318,2
319,4
320,1
321,0
322,2
323,4
324,3
325,0
326,0
327,3
328,0
329,1
330,4
331,0
332,0
333,0
334,0
335,4
336,1
337,2
338,2
339,4
340,0
341,0
342,1
343,0
344,4
345,0
346,0
347,1
348,0
349,0
350,4
351,4
352,1
353,4
354,4
355,4
356,5
357,1
358,1
359,0
360,1
361,1
362,2
363,0
364,0
365,2
366,4
367,1
368,4
369,0
370,0
371,4
372,1
373,0
374,0
375,1
376,0
377,5
378,4
379,4
380,1
381,0
382,0
383,4
384,2
385,2
386,0
387,1
388,5
389,0
390,0
391,5
392,4
393,1
394,1
395,3
396,2
397,4
398,4
399,4
400,0
401,4
402,2
403,0
404,0
405,0
406,0
407,1
408,2
409,3
410,3
411,1
412,3
413,0
414,2
415,1
416,4
417,0
418,1
419,4
420,4
421,4
422,1
423,4
424,4
425,0
426,4
427,3
428,0
429,0
430,1
431,0
432,0
433,0
434,0
435,4
436,1
437,4
438,2
439,4
440,3
441,0
442,1
443,0
444,2
445,1
446,0
447,0
448,2
449,3
450,1
451,0
452,5
453,4
454,0
455,4
456,2
457,0
458,1
459,2
460,4
461,4
462,2
463,0
464,1
465,0
466,1
467,0
468,1
469,0
470,4
